Date,Adj Close,Close,High,Low,Open,Volume
10/4/2018,260.2762146,289.4400024,291.2399902,287.6600037,291.1799927,111545900
10/5/2018,258.819458,287.8200073,290.269989,286.2200012,289.6900024,105951700
10/8/2018,258.819458,287.8200073,288.2200012,285.5,287.0499878,87742200
10/9/2018,258.441803,287.3999939,288.8599854,286.769989,287.3900146,74339000
10/10/2018,250.2586365,278.2999878,286.9100037,277.8800049,286.8299866,214731000
10/11/2018,244.7463531,272.1700134,278.8999939,270.3599854,277.0799866,274840500
10/12/2018,248.1455231,275.9500122,277.0899963,272.3699951,276.769989,183186500
10/15/2018,246.7516479,274.3999939,277.0400085,274.2999878,275.5499878,102263700
10/16/2018,252.147049,280.3999939,280.8200073,276.0700073,276.6000061,118255800
10/17/2018,252.1920624,280.4500122,281.1499939,277.5599976,280.4400024,110626000
10/18/2018,248.5502472,276.3999939,280.0700073,274.9700012,279.3999939,134557500
10/19/2018,248.4152679,276.25,279.2999878,275.4700012,277.1300049,139901600
10/22/2018,247.3001556,275.0100098,277.3599854,274.4100037,277,82415800
10/23/2018,246.0412292,273.6099854,274.8699951,268.6099854,270.9500122,146352700
10/24/2018,238.5865326,265.3200073,273.7600098,264.7000122,273.3299866,177806700
10/25/2018,242.8668976,270.0799866,271.8099976,266.230011,267.3800049,138061500
10/26/2018,238.59552,265.3299866,271,262.2900085,265.9200134,201574600
10/29/2018,237.2736664,263.8599854,270.25,259.8500061,268.7999878,160749100
10/30/2018,240.7896423,267.769989,268.1199951,263.1199951,263.6700134,157116000
10/31/2018,243.3615417,270.6300049,273.230011,270.1199951,270.6499939,128296300
11/1/2018,245.9513092,273.5100098,273.730011,270.3800049,271.6000061,99495000
11/2/2018,244.4945679,271.8900146,275.230011,269.5899963,274.75,122634100
11/5/2018,245.8433838,273.3900146,274.0100098,271.3500061,272.4400024,65622500
11/6/2018,247.3991852,275.1199951,275.2999878,273.25,273.3200073,60085900
11/7/2018,252.6956482,281.0100098,281.1000061,277.0799866,277.5599976,102752100
11/8/2018,252.2370758,280.5,281.2200012,279.2200012,280.1099854,65584900
11/9/2018,249.7731171,277.7600098,279.2399902,276.1799927,279.0299988,98812600
11/12/2018,245.1060944,272.5700073,277.4599915,271.9899902,277.1900024,99673600
11/13/2018,244.6474304,272.0599976,275.3299866,271.25,273.0899963,98176600
11/14/2018,242.9747925,270.2000122,274.6099854,268.4500122,274.1600037,125335900
11/15/2018,245.5107727,273.019989,273.5400085,267.0100098,268.7799988,135101400
11/16/2018,246.1491241,273.730011,274.75,271.2099915,271.7900085,126668000
11/19/2018,241.9856415,269.1000061,273.3800049,268.0700073,273.0499878,103061700
11/20/2018,237.5074158,264.1199951,267,263.1499939,265.3599854,136021300
11/21/2018,238.3167572,265.019989,267.1499939,265.0100098,265.8599854,75563700
11/23/2018,236.7251282,263.25,264.8200073,263.0700073,263.1799927,42807900
11/26/2018,240.5468903,267.5,267.75,265.3399963,265.7799988,79981400
